Source,Target,JourneyText,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Weight
"Park Road (Baker Street), Regent's Park","Park Road (Baker Street), Regent's Park","Park Road (Baker Street), Regent's Park to Park Road (Baker Street), Regent's Park",119,386,214,77,44,58,39,1,938
"The Tennis Courts, Regent's Park","The Tennis Courts, Regent's Park","The Tennis Courts, Regent's Park to The Tennis Courts, Regent's Park",112,367,202,110,71,26,38,2,928
"Milroy Walk, South Bank","Hop Exchange, The Borough","Milroy Walk, South Bank to Hop Exchange, The Borough",49,170,179,184,129,95,106,8,920
"Empire Square, The Borough","Bermondsey Street, Bermondsey","Empire Square, The Borough to Bermondsey Street, Bermondsey",16,90,156,187,177,118,157,7,908
"Bermondsey Street, Bermondsey","Empire Square, The Borough","Bermondsey Street, Bermondsey to Empire Square, The Borough",14,86,177,187,157,115,156,8,900
"Wormwood Street, Liverpool Street","Waterloo Station 3, Waterloo","Wormwood Street, Liverpool Street to Waterloo Station 3, Waterloo",55,169,166,166,164,78,94,5,897
"Great Tower Street, Monument","Godliman Street, St. Paul's","Great Tower Street, Monument to Godliman Street, St. Paul's",49,115,148,159,149,115,152,8,895
"Braham Street, Aldgate","Vaughan Way, Wapping","Braham Street, Aldgate to Vaughan Way, Wapping",50,206,175,131,126,74,121,8,891
"Palace Gate, Kensington Gardens","Hyde Park Corner, Hyde Park","Palace Gate, Kensington Gardens to Hyde Park Corner, Hyde Park",24,184,288,132,94,82,71,11,886
"Waterloo Station 3, Waterloo","Wormwood Street, Liverpool Street","Waterloo Station 3, Waterloo to Wormwood Street, Liverpool Street",62,155,143,167,164,75,117,2,885
"Waterloo Station 3, Waterloo","Crosswall, Tower","Waterloo Station 3, Waterloo to Crosswall, Tower",50,152,116,154,151,110,138,4,875
"Saunders Ness Road, Cubitt Town","Jubilee Plaza, Canary Wharf","Saunders Ness Road, Cubitt Town to Jubilee Plaza, Canary Wharf",76,280,186,126,92,53,59,0,872
"Hop Exchange, The Borough","Milroy Walk, South Bank","Hop Exchange, The Borough to Milroy Walk, South Bank",51,162,148,187,139,80,92,8,867
"Finsbury Circus, Liverpool Street","West Smithfield Rotunda, Farringdon","Finsbury Circus, Liverpool Street to West Smithfield Rotunda, Farringdon",13,151,163,166,161,79,128,4,865
"Sun Street, Liverpool Street","West Smithfield Rotunda, Farringdon","Sun Street, Liverpool Street to West Smithfield Rotunda, Farringdon",65,125,146,128,165,77,152,7,865
"Waterloo Station 3, Waterloo","Queen Street, Bank","Waterloo Station 3, Waterloo to Queen Street, Bank",49,179,155,171,131,63,110,4,862
"Churchill Place, Canary Wharf","East India DLR, Blackwall","Churchill Place, Canary Wharf to East India DLR, Blackwall",54,176,179,117,117,87,126,4,860
"Waterloo Station 3, Waterloo","Newgate Street , St. Paul's","Waterloo Station 3, Waterloo to Newgate Street , St. Paul's",48,129,133,155,141,103,143,6,858
"Hyde Park Corner, Hyde Park","Speakers' Corner 2, Hyde Park","Hyde Park Corner, Hyde Park to Speakers' Corner 2, Hyde Park",47,191,228,132,110,75,69,4,856
"Speakers' Corner 2, Hyde Park","Speakers' Corner 1, Hyde Park","Speakers' Corner 2, Hyde Park to Speakers' Corner 1, Hyde Park",82,208,262,111,80,47,58,5,853
"Speakers' Corner 2, Hyde Park","Hyde Park Corner, Hyde Park","Speakers' Corner 2, Hyde Park to Hyde Park Corner, Hyde Park",47,178,233,147,92,78,68,9,852
"Jubilee Plaza, Canary Wharf","Spindrift Avenue, Millwall","Jubilee Plaza, Canary Wharf to Spindrift Avenue, Millwall",45,182,177,144,159,71,65,2,845
"Wells Street, Fitzrovia ","Belgrove Street , King's Cross","Wells Street, Fitzrovia  to Belgrove Street , King's Cross",55,125,118,142,156,94,148,7,845
"Nesham Street, Wapping","Garnet Street, Shadwell","Nesham Street, Wapping to Garnet Street, Shadwell",54,141,148,131,155,111,97,8,845
"Serpentine Car Park, Hyde Park","Hyde Park Corner, Hyde Park","Serpentine Car Park, Hyde Park to Hyde Park Corner, Hyde Park",23,235,286,141,55,47,48,4,839
"Kennington Cross, Kennington","Kennington Lane Rail Bridge, Vauxhall","Kennington Cross, Kennington to Kennington Lane Rail Bridge, Vauxhall",34,117,148,148,153,109,123,7,839
"Queen Victoria Street, St. Paul's","Waterloo Station 3, Waterloo","Queen Victoria Street, St. Paul's to Waterloo Station 3, Waterloo",37,177,129,129,137,73,147,3,832
"Regent's Row , Haggerston ","Regent's Row , Haggerston ","Regent's Row , Haggerston  to Regent's Row , Haggerston ",131,251,184,85,73,45,58,5,832
"Furze Green, Bow","The Green Bridge, Mile End","Furze Green, Bow to The Green Bridge, Mile End",43,154,159,148,128,102,84,6,824
"Napier Avenue, Millwall","Jubilee Plaza, Canary Wharf","Napier Avenue, Millwall to Jubilee Plaza, Canary Wharf",72,223,189,105,68,71,91,2,821
"Queen Street, Bank","Waterloo Station 3, Waterloo","Queen Street, Bank to Waterloo Station 3, Waterloo",53,168,171,158,117,61,84,5,817
"Wren Street, Holborn","Belgrove Street , King's Cross","Wren Street, Holborn to Belgrove Street , King's Cross",33,98,126,130,141,135,143,6,812
"Newgate Street , St. Paul's","Waterloo Station 3, Waterloo","Newgate Street , St. Paul's to Waterloo Station 3, Waterloo",51,137,132,132,134,83,129,5,803
"Godliman Street, St. Paul's","Waterloo Station 3, Waterloo","Godliman Street, St. Paul's to Waterloo Station 3, Waterloo",49,130,155,137,129,80,110,9,799
"The Green Bridge, Mile End","Furze Green, Bow","The Green Bridge, Mile End to Furze Green, Bow",38,114,181,148,146,95,72,5,799
"Bankside Mix, Bankside","Hop Exchange, The Borough","Bankside Mix, Bankside to Hop Exchange, The Borough",51,162,192,137,98,81,71,7,799
"Bankside Mix, Bankside","Wormwood Street, Liverpool Street","Bankside Mix, Bankside to Wormwood Street, Liverpool Street",52,158,168,126,139,56,89,7,795
"Red Lion Street, Holborn","Belgrove Street , King's Cross","Red Lion Street, Holborn to Belgrove Street , King's Cross",43,131,146,130,123,85,131,6,795
"Brushfield Street, Liverpool Street","Vaughan Way, Wapping","Brushfield Street, Liverpool Street to Vaughan Way, Wapping",44,137,123,146,137,78,122,6,793
"Milroy Walk, South Bank","Stonecutter Street, Holborn","Milroy Walk, South Bank to Stonecutter Street, Holborn",53,160,134,104,133,81,125,2,792
"Queen Street, Bank","Stonecutter Street, Holborn","Queen Street, Bank to Stonecutter Street, Holborn",56,140,86,115,128,116,139,3,783
"Aldersgate Street, Barbican","Sun Street, Liverpool Street","Aldersgate Street, Barbican to Sun Street, Liverpool Street",58,126,128,148,127,79,108,5,779
"Albert Gate, Hyde Park","Speakers' Corner 2, Hyde Park","Albert Gate, Hyde Park to Speakers' Corner 2, Hyde Park",33,189,240,113,98,47,53,5,778
"Shadwell Station, Shadwell","Vaughan Way, Wapping","Shadwell Station, Shadwell to Vaughan Way, Wapping",27,117,140,123,159,101,97,9,773
"Hyde Park Corner, Hyde Park","Cumberland Gate, Hyde Park","Hyde Park Corner, Hyde Park to Cumberland Gate, Hyde Park",43,213,255,89,83,41,48,0,772
"Belgrove Street , King's Cross","Holborn Circus, Holborn","Belgrove Street , King's Cross to Holborn Circus, Holborn",55,154,128,123,123,69,114,2,768
"Speakers' Corner 2, Hyde Park","Albert Gate, Hyde Park","Speakers' Corner 2, Hyde Park to Albert Gate, Hyde Park",30,211,237,102,86,37,59,4,766
"Jubilee Plaza, Canary Wharf","Jubilee Plaza, Canary Wharf","Jubilee Plaza, Canary Wharf to Jubilee Plaza, Canary Wharf",76,260,150,94,63,75,46,0,764
"Old Street Station, St. Luke's","Berry Street, Clerkenwell","Old Street Station, St. Luke's to Berry Street, Clerkenwell",37,134,166,151,116,64,87,6,761
"Shoreditch High Street, Shoreditch","Brushfield Street, Liverpool Street","Shoreditch High Street, Shoreditch to Brushfield Street, Liverpool Street",36,153,166,159,113,32,94,7,760
"Spindrift Avenue, Millwall","Jubilee Plaza, Canary Wharf","Spindrift Avenue, Millwall to Jubilee Plaza, Canary Wharf",68,206,131,130,108,49,67,0,759
"Belvedere Road, South Bank","Stonecutter Street, Holborn","Belvedere Road, South Bank to Stonecutter Street, Holborn",59,170,112,127,141,67,80,2,758
"Vaughan Way, Wapping","Braham Street, Aldgate","Vaughan Way, Wapping to Braham Street, Aldgate",58,163,140,122,114,60,90,7,754
"Hop Exchange, The Borough","Waterloo Station 1, Waterloo","Hop Exchange, The Borough to Waterloo Station 1, Waterloo",58,124,169,149,110,71,67,5,753
"Hop Exchange, The Borough","Stonecutter Street, Holborn","Hop Exchange, The Borough to Stonecutter Street, Holborn",47,116,122,127,152,89,97,3,753
"Waterloo Station 1, Waterloo","Stonecutter Street, Holborn","Waterloo Station 1, Waterloo to Stonecutter Street, Holborn",41,120,109,126,132,91,123,3,745
"Wormwood Street, Liverpool Street","West Smithfield Rotunda, Farringdon","Wormwood Street, Liverpool Street to West Smithfield Rotunda, Farringdon",48,104,148,137,123,64,111,3,738
"Hyde Park Corner, Hyde Park","Palace Gate, Kensington Gardens","Hyde Park Corner, Hyde Park to Palace Gate, Kensington Gardens",37,116,211,122,95,69,66,20,736
"Southwark Station 2, Southwark","Stonecutter Street, Holborn","Southwark Station 2, Southwark to Stonecutter Street, Holborn",47,117,100,86,102,88,190,4,734
"Waterloo Station 3, Waterloo","Bankside Mix, Bankside","Waterloo Station 3, Waterloo to Bankside Mix, Bankside",44,131,129,106,113,88,113,7,731
"Burdett Road, Mile End","The Green Bridge, Mile End","Burdett Road, Mile End to The Green Bridge, Mile End",35,149,165,137,108,58,73,5,730
"Black Lion Gate, Kensington Gardens","Queen's Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens to Queen's Gate, Kensington Gardens",91,237,170,85,51,52,44,0,730
"Belgrove Street , King's Cross","Abbey Orchard Street, Westminster","Belgrove Street , King's Cross to Abbey Orchard Street, Westminster",50,123,119,125,121,73,114,4,729
"Queen Marys, Mile End","Royal London Hospital, Whitechapel","Queen Marys, Mile End to Royal London Hospital, Whitechapel",22,83,110,163,139,89,116,7,729
"Notting Hill Gate Station, Notting Hill","Hereford Road, Bayswater","Notting Hill Gate Station, Notting Hill to Hereford Road, Bayswater",8,80,148,143,119,84,133,11,726
"Mostyn Grove, Bow","Bow Road Station, Bow","Mostyn Grove, Bow to Bow Road Station, Bow",8,87,172,147,152,75,80,5,726
"Sun Street, Liverpool Street","Aldersgate Street, Barbican","Sun Street, Liverpool Street to Aldersgate Street, Barbican",41,142,115,134,103,81,101,3,720
"Jubilee Plaza, Canary Wharf","Saunders Ness Road, Cubitt Town","Jubilee Plaza, Canary Wharf to Saunders Ness Road, Cubitt Town",57,220,162,102,61,55,57,5,719
"Regent's Row , Haggerston ","Shoreditch High Street, Shoreditch","Regent's Row , Haggerston  to Shoreditch High Street, Shoreditch",88,206,139,80,95,34,67,8,717
"Green Park Station, West End","Green Park Station, West End","Green Park Station, West End to Green Park Station, West End",82,282,158,59,59,24,50,3,717
"Taviton Street, Bloomsbury","Wren Street, Holborn","Taviton Street, Bloomsbury to Wren Street, Holborn",10,34,30,222,193,100,124,3,716
"Waterloo Station 3, Waterloo","Finsbury Circus, Liverpool Street","Waterloo Station 3, Waterloo to Finsbury Circus, Liverpool Street",10,98,134,148,114,79,129,3,715
"New Fetter Lane, Holborn","Waterloo Station 3, Waterloo","New Fetter Lane, Holborn to Waterloo Station 3, Waterloo",40,100,121,123,112,83,131,4,714
"Jubilee Crescent, Cubitt Town","Jubilee Plaza, Canary Wharf","Jubilee Crescent, Cubitt Town to Jubilee Plaza, Canary Wharf",78,201,126,99,77,55,65,1,702
"York Hall, Bethnal Green","Regent's Row , Haggerston ","York Hall, Bethnal Green to Regent's Row , Haggerston ",54,149,131,105,110,79,66,5,699
"Jubilee Plaza, Canary Wharf","Jubilee Crescent, Cubitt Town","Jubilee Plaza, Canary Wharf to Jubilee Crescent, Cubitt Town",47,213,120,101,70,74,72,1,698
"Alpha Grove, Millwall","Jubilee Plaza, Canary Wharf","Alpha Grove, Millwall to Jubilee Plaza, Canary Wharf",51,145,164,120,105,59,53,0,697
"Queen Marys, Mile End","Sidney Street, Stepney","Queen Marys, Mile End to Sidney Street, Stepney",16,99,156,147,107,80,85,4,694
"Aldersgate Street, Barbican","Queen Street, Bank","Aldersgate Street, Barbican to Queen Street, Bank",44,131,125,91,121,63,110,8,693
"Brushfield Street, Liverpool Street","Shoreditch High Street, Shoreditch","Brushfield Street, Liverpool Street to Shoreditch High Street, Shoreditch",52,130,165,108,105,44,77,10,691
"Shoreditch High Street, Shoreditch","Regent's Row , Haggerston ","Shoreditch High Street, Shoreditch to Regent's Row , Haggerston ",81,178,164,89,70,32,71,5,690
"Crosswall, Tower","Waterloo Station 3, Waterloo","Crosswall, Tower to Waterloo Station 3, Waterloo",43,141,106,114,87,89,105,4,689
"Belgrove Street , King's Cross","Wells Street, Fitzrovia ","Belgrove Street , King's Cross to Wells Street, Fitzrovia ",44,89,116,121,125,79,113,2,689
"Brushfield Street, Liverpool Street","Brick Lane Market, Shoreditch","Brushfield Street, Liverpool Street to Brick Lane Market, Shoreditch",36,147,130,105,94,99,73,5,689
"Pott Street, Bethnal Green","Bethnal Green Road, Shoreditch","Pott Street, Bethnal Green to Bethnal Green Road, Shoreditch",53,152,150,116,89,71,47,10,688
"Bethnal Green Road, Shoreditch","Pott Street, Bethnal Green","Bethnal Green Road, Shoreditch to Pott Street, Bethnal Green",54,151,123,89,80,106,78,6,687
"Bow Road Station, Bow","Mostyn Grove, Bow","Bow Road Station, Bow to Mostyn Grove, Bow",11,83,160,137,147,79,66,4,687
"Abingdon Villas, Kensington","Wright's Lane, Kensington","Abingdon Villas, Kensington to Wright's Lane, Kensington",7,50,121,142,144,97,117,9,687
"Palace Gate, Kensington Gardens","Albert Gate, Hyde Park","Palace Gate, Kensington Gardens to Albert Gate, Hyde Park",22,152,203,112,86,61,46,2,684
"Drury Lane, Covent Garden","Belgrove Street , King's Cross","Drury Lane, Covent Garden to Belgrove Street , King's Cross",49,123,110,112,106,68,109,7,684
"Belgrove Street , King's Cross","Wren Street, Holborn","Belgrove Street , King's Cross to Wren Street, Holborn",37,106,108,130,118,88,92,4,683
"Waterloo Station 3, Waterloo","Cheapside, Bank","Waterloo Station 3, Waterloo to Cheapside, Bank",43,111,146,111,103,84,84,0,682
"Jubilee Plaza, Canary Wharf","Napier Avenue, Millwall","Jubilee Plaza, Canary Wharf to Napier Avenue, Millwall",75,228,129,79,51,50,65,4,681
"Vaughan Way, Wapping","Wapping Lane, Wapping","Vaughan Way, Wapping to Wapping Lane, Wapping",0,76,136,142,117,91,110,7,679
"Speakers' Corner 1, Hyde Park","Black Lion Gate, Kensington Gardens","Speakers' Corner 1, Hyde Park to Black Lion Gate, Kensington Gardens",47,136,220,97,65,66,42,2,675
"Bethnal Green Road, Shoreditch","Brushfield Street, Liverpool Street","Bethnal Green Road, Shoreditch to Brushfield Street, Liverpool Street",31,140,126,109,103,65,94,6,674
"Belgrove Street , King's Cross","Clerkenwell Green, Clerkenwell","Belgrove Street , King's Cross to Clerkenwell Green, Clerkenwell",49,128,109,130,98,61,92,3,670
"The Green Bridge, Mile End","Burdett Road, Mile End","The Green Bridge, Mile End to Burdett Road, Mile End",37,126,133,110,116,62,81,3,668
"Belgrove Street , King's Cross","Tavistock Street, Covent Garden","Belgrove Street , King's Cross to Tavistock Street, Covent Garden",40,134,82,116,122,61,104,6,665
"Newgate Street , St. Paul's","Finsbury Circus, Liverpool Street","Newgate Street , St. Paul's to Finsbury Circus, Liverpool Street",11,81,128,120,116,80,124,5,665
"Poured Lines, Bankside","Hop Exchange, The Borough","Poured Lines, Bankside to Hop Exchange, The Borough",35,102,152,123,86,75,85,3,661
"Belgrove Street , King's Cross","Drury Lane, Covent Garden","Belgrove Street , King's Cross to Drury Lane, Covent Garden",48,115,119,100,102,71,99,6,660
"Godliman Street, St. Paul's","Great Tower Street, Monument","Godliman Street, St. Paul's to Great Tower Street, Monument",43,112,87,129,90,58,138,3,660
"Bricklayers Arms, Borough","Swan Street, The Borough","Bricklayers Arms, Borough to Swan Street, The Borough",4,46,117,130,128,87,133,15,660
"Pott Street, Bethnal Green","Granby Street, Shoreditch","Pott Street, Bethnal Green to Granby Street, Shoreditch",38,90,143,119,93,75,93,7,658
"Finsbury Circus, Liverpool Street","Waterloo Station 3, Waterloo","Finsbury Circus, Liverpool Street to Waterloo Station 3, Waterloo",15,112,102,116,110,82,118,2,657
"Malet Street, Bloomsbury","Belgrove Street , King's Cross","Malet Street, Bloomsbury to Belgrove Street , King's Cross",39,108,105,104,106,69,119,7,657
"South Kensington Station, South Kensington","South Kensington Station, South Kensington","South Kensington Station, South Kensington to South Kensington Station, South Kensington",98,181,137,94,51,50,41,1,653
"Granby Street, Shoreditch","Pott Street, Bethnal Green","Granby Street, Shoreditch to Pott Street, Bethnal Green",34,104,149,111,74,89,85,4,650
"Stamford Street, South Bank","Stonecutter Street, Holborn","Stamford Street, South Bank to Stonecutter Street, Holborn",52,113,87,62,121,82,128,0,645
"Kennington Lane Rail Bridge, Vauxhall","Kennington Cross, Kennington","Kennington Lane Rail Bridge, Vauxhall to Kennington Cross, Kennington",39,69,109,120,107,97,94,9,644
"Regent's Row , Haggerston ","Graham Street, Angel","Regent's Row , Haggerston  to Graham Street, Angel",52,174,119,109,65,58,50,17,644
"Wormwood Street, Liverpool Street","Tooley Street, Bermondsey","Wormwood Street, Liverpool Street to Tooley Street, Bermondsey",52,145,139,111,75,58,61,2,643
"Abbey Orchard Street, Westminster","Belgrove Street , King's Cross","Abbey Orchard Street, Westminster to Belgrove Street , King's Cross",37,110,105,125,103,39,119,4,642
"Brick Lane Market, Shoreditch","Brushfield Street, Liverpool Street","Brick Lane Market, Shoreditch to Brushfield Street, Liverpool Street",51,136,97,115,89,66,82,4,640
"Gun Makers Lane, Old Ford","Gun Makers Lane, Old Ford","Gun Makers Lane, Old Ford to Gun Makers Lane, Old Ford",75,164,147,87,69,32,59,6,639
"Bethnal Green Road, Shoreditch","Old Street Station, St. Luke's","Bethnal Green Road, Shoreditch to Old Street Station, St. Luke's",43,142,101,103,100,66,80,2,637
"Devonshire Square, Liverpool Street","Leman Street, Aldgate","Devonshire Square, Liverpool Street to Leman Street, Aldgate",34,75,82,110,130,88,110,4,633
"East India DLR, Blackwall","Jubilee Plaza, Canary Wharf","East India DLR, Blackwall to Jubilee Plaza, Canary Wharf",54,195,145,103,69,33,30,1,630
"British Museum, Bloomsbury","Belgrove Street , King's Cross","British Museum, Bloomsbury to Belgrove Street , King's Cross",46,137,115,91,93,69,76,2,629
"Sun Street, Liverpool Street","Stonecutter Street, Holborn","Sun Street, Liverpool Street to Stonecutter Street, Holborn",38,109,103,69,107,80,122,0,628
"Great Dover Street, Borough","Stamford Street, South Bank","Great Dover Street, Borough to Stamford Street, South Bank",19,48,47,103,175,91,142,1,626
