"1192","Embankment (Savoy), Strand"
"1193","Kensington Gore, Knightsbridge"
"1194","Westminster University, Marylebone"
"1195","St. George's Square, Pimlico"
"1196","Vincent Square, Westminster"
"1197","Sackville Street, Mayfair"
"1199","The Tennis Courts, Regent's Park"
"1200","Ontario Street, Elephant & Castle"
"1201","Bank of England Museum, Bank"
"1202","Wellington Street , Strand"
"1203","Eastbourne Mews, Paddington"
"1204","Queen's Gate (North), Kensington"
"1205","Black Prince Road, Vauxhall"
"1206","Montpelier Street, Knightsbridge"
"1207","Tavistock Street, Covent Garden"
"1208","Dickens Square, Borough"
"1209","Empire Square, The Borough"
"1210","Nevern Place, Earl's Court"
"1211","Bunhill Row, Moorgate"
"1212","Concert Hall Approach 2, South Bank"
"1213","Curlew Street, Shad Thames"
"1214","Kensington Olympia Station, Olympia"
"1215","Knaresborough Place, Earl's Court"
"1216","Swan Street, The Borough"
"1217","Serpentine Car Park, Hyde Park"
"1218","Flood Street, Chelsea"
"1219","Lower Marsh, Waterloo"
"1220","Imperial College, Knightsbridge"
"1221","St. George Street, Mayfair"
"1222","Goswell Road (City Uni), Finsbury"
"1223","Buxton Street 1, Bangla Town"
"1224","Vauxhall Street, Vauxhall"
"1225","George Street, Marylebone"
"1226","Macclesfield Rd, St Lukes"
"1227","Devonshire Terrace, Bayswater"
"1228","Southampton Street, Strand"
"1229","High Holborn , Covent Garden"
"1230","Millennium Hotel, Mayfair"
"1231","Queen's Gate, Kensington Gardens"
"200001","Limerston Street, Chelsea"
"200002","Jubilee Street, Stepney"
"200003","Cheshire Street, Bethnal Green"
"200004","Lightermans Road, Millwall"
"200005","New Cavendish Street, Marylebone"
"200006","Hewison Street, Old Ford"
"200008","Portman Square, Marylebone"
"200009","Stebondale Street, Cubitt Town"
"200010","Manresa Road, Chelsea"
"200011","Furze Green, Bow"
"200012","Stepney Green Station, Stepney"
"200013","Aston Street, Stepney"
"200014","Gun Makers Lane, Old Ford"
"200015","Ladbroke Grove Central, Notting Hill"
"200016","Castlehaven Road, Camden Town"
"200017","Lancaster Gate , Bayswater"
"200018","Spindrift Avenue, Millwall"
"200019","Malmesbury Road, Bow"
"200020","Shadwell Station, Shadwell"
"200021","Hermitage Court, Wapping"
"200022","Saunders Ness Road, Cubitt Town"
"200024","Queensbridge Road, Haggerston"
"200026","Greenland Road, Camden Town"
"200027","Ford Road, Old Ford"
"200030","Driffield Road, Old Ford"
"200031","East Ferry Road, Cubitt Town"
"200032","Kennington Oval, Oval"
"200033","Philpot Street, Whitechapel"
"200034","Wapping Lane 2, Wapping"
"200034","Wapping Lane, Wapping"
"200035","Walmer Road, Notting Hill"
"200036","Bell Lane, Liverpool Street"
"200037","Rectory Square, Stepney"
"200038","Ackroyd Drive, Bow"
"200039","Sail Street, Vauxhall"
"200041","Antill Road, Mile End"
"200042","York Hall, Bethnal Green"
"200044","New Fetter Lane, Holborn"
"200045","Garnet Street, Shadwell"
"200046","Napier Avenue, Millwall"
"200047","Bethnal Green Gardens, Bethnal Green"
"200048","John Islip Street, Westminster"
"200049","St Katharines Way, Tower"
"200050","Naval Row, Blackwall"
"200051","Percival Street, Finsbury"
"200052","Thornfield House, Poplar"
"200053","Killick Street, Kings Cross"
"200054","Jubilee Crescent, Cubitt Town"
"200056","Vauxhall Walk, Vauxhall"
"200058","Northdown Street, King's Cross"
"200060","Drayton Gardens, Chelsea"
"200061","Westfield Southern Terrace ,Shepherd's Bush"
"200064","Regent's Row , Haggerston "
"200065","Lansdowne Walk, Notting Hill"
"200066","Montgomery Square, Canary Wharf"
"200068","Somerset House, Strand"
"200070","Arlington Road, Camden Town"
"200071","Hoxton Street, Hoxton"
"200073","Cephas Street, Bethnal Green"
"200074","Bury Place, Holborn"
"200076","Westminster Bridge Road, Elephant & Castle"
"200078","Aberfeldy Street, Poplar"
"200080","Russell Gardens, Holland Park"
"200082","St. Mary and St. Michael Church, Stepney"
"200083","Pritchard's Road, Bethnal Green"
"200086","Ilchester Gardens, Bayswater"
"200088","Clarges Street, West End"
"200089","Chrisp Street Market, Poplar"
"200090","Pennington Street, Wapping"
"200092","Mudchute DLR, Cubitt Town"
"200093","Thurtle Road, Haggerston"
"200096","Green Park Station, West End"
"200099","Upper Bank Street, Canary Wharf"
"200101","Monument Street, Monument"
"200102","Harford Street, Mile End"
"200105","Bonny Street, Camden Town"
"200108","Bishop's Bridge Road East, Bayswater"
"200109","Alpha Grove, Millwall"
"200110","Bishop's Bridge Road West, Bayswater"
"200111","Abbotsbury Road, Holland Park"
"200115","Flamborough Street, Limehouse"
